x,y,x_unit,y_unit,source_pmid,fig_ref,series,digitization_tool,date,notes
0.3527,69.5522,hours,ug_per_g,11219699,Fig2A_ART,ART_observed_total_radioactivity,automated_PIL_scipy_erosion_5x5_sz50,2026-06-26,Log-scale y-axis; x_left=339 x_right=1347 t_max=80.0h; y log(1..1e+03) ug/g; 10 mg/kg iv bolus 250g rat
0.4741,38.9181,hours,ug_per_g,11219699,Fig2A_ART,ART_observed_total_radioactivity,automated_PIL_scipy_erosion_5x5_sz50,2026-06-26,Log-scale y-axis; x_left=339 x_right=1347 t_max=80.0h; y log(1..1e+03) ug/g; 10 mg/kg iv bolus 250g rat
1.4276,13.1051,hours,ug_per_g,11219699,Fig2A_ART,ART_observed_total_radioactivity,automated_PIL_scipy_erosion_5x5_sz50,2026-06-26,Log-scale y-axis; x_left=339 x_right=1347 t_max=80.0h; y log(1..1e+03) ug/g; 10 mg/kg iv bolus 250g rat
1.4286,7.5548,hours,ug_per_g,11219699,Fig2A_ART,ART_observed_total_radioactivity,automated_PIL_scipy_erosion_5x5_sz50,2026-06-26,Log-scale y-axis; x_left=339 x_right=1347 t_max=80.0h; y log(1..1e+03) ug/g; 10 mg/kg iv bolus 250g rat
23.9683,3.6187,hours,ug_per_g,11219699,Fig2A_ART,ART_observed_total_radioactivity,automated_PIL_scipy_erosion_5x5_sz50,2026-06-26,Log-scale y-axis; x_left=339 x_right=1347 t_max=80.0h; y log(1..1e+03) ug/g; 10 mg/kg iv bolus 250g rat
72.1247,4.1552,hours,ug_per_g,11219699,Fig2A_ART,ART_observed_total_radioactivity,automated_PIL_scipy_erosion_5x5_sz50,2026-06-26,Log-scale y-axis; x_left=339 x_right=1347 t_max=80.0h; y log(1..1e+03) ug/g; 10 mg/kg iv bolus 250g rat
