x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
2.0548,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.0776,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.1005,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.1233,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.1461,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.1689,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.1918,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.2146,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.2374,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.2603,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.2831,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.3059,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.3288,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.3516,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.3744,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
2.3973,140.4167,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
