x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
2.8571,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
2.9592,5.1333,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
3.0612,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
3.2653,5.1556,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
3.3673,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
3.4694,5.2222,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
3.7755,5.0963,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
4.2857,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
4.3878,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
4.8980,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.0000,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.2041,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.3061,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.4082,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.5102,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.6122,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.7143,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.8163,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
5.9184,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.0204,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.1224,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.2245,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.3265,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.4286,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.5306,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.6327,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.7347,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.8367,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
6.9388,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.0408,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.1429,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.2449,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.3469,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.4490,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.5510,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.6531,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.7551,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.8571,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
7.9592,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.0612,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.1633,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.2653,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.3673,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.4694,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.5714,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.6735,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
8.7755,5.2185,days,L/min,28548387,Fig 2 panel CO,G01_Ki001,CO,digitize_app_figs.py,2026-06-25
